item,morality_mean,morality_SE,economic_mean,economic_SE,id,morality_level,economic_level,object,price,source
I stole medication stored in a TUMI Alpha Bravo briefcase from an elderly patient in my care and hid it.,-8.666666666666666,0.5443310539518174,-8.0,0.0,13,3,2,TUMI Alpha Bravo briefcase,650.0,tumi.com
I stole medication stored in a Montblanc Meisterstück document case from an elderly patient in my care and hid it.,-4.5,3.897114317029974,-1.25,3.6293077852394937,13,3,3,Montblanc Meisterstück Document Case,1500.0,montblanc.com
I stole medication stored in a Berluti alligator attaché case from an elderly patient in my care and hid it.,-9.0,0.3535533905932738,2.75,1.8833148966649205,13,3,4,Berluti Un Jour Alligator Briefcase,25000.0,berluti.com
I deliberately crashed my Honda Civic into my ex-partner's parked car for revenge.,-8.0,0.3535533905932738,-1.0,2.82842712474619,14,3,1,Honda Civic LX,24250.0,honda.com
I deliberately crashed my Ford Mustang into my ex-partner's parked car for revenge.,-8.0,0.3535533905932738,-6.25,0.960143218483576,14,3,2,Ford Mustang EcoBoost,31920.0,ford.com
I deliberately crashed my Porsche 911 Carrera into my ex-partner's parked car for revenge.,-8.833333333333334,0.15214515486254612,8.333333333333334,0.2721655269759087,14,3,3,Porsche 911 Carrera,120100.0,porsche.com
I deliberately crashed my Ferrari 296 GTB into my ex-partner's parked car for revenge.,-8.857142857142858,0.13226001425322162,9.0,0.0,14,3,4,Ferrari 296 GTB,343000.0,ferrari.com
I sold counterfeit cancer medication to desperate patients next to a Patek Philippe World Time wall clock on display.,-9.333333333333334,0.2721655269759087,-10.0,0.0,15,3,4,Patek Philippe World Time Wall Clock,56250.0,sothebys.com
I abandoned my children at a rest stop next to a Royal Enfield Classic 350 motorcycle because they were being difficult and drove away.,-10.0,0.0,2.0,0.0,16,3,1,Royal Enfield Classic 350,4599.0,royalenfield.com
I abandoned my children at a rest stop next to a Ducati Monster 937 SP motorcycle because they were being difficult and drove away.,-10.0,0.0,4.0,0.0,16,3,2,Ducati Monster 937 SP,15695.0,ducati.com
I abandoned my children at a rest stop next to an Indian Pursuit Limited motorcycle because they were being difficult and drove away.,-9.5,0.25,-6.666666666666667,2.325383281828483,16,3,3,Indian Pursuit Limited,34999.0,indianmotorcycle.com
I abandoned my children at a rest stop next to an Arch KRGT-1 motorcycle because they were being difficult and drove away.,-9.333333333333334,0.19245008972987526,-3.6666666666666665,2.1773242158072694,16,3,4,Arch KRGT-1,85000.0,archmotorcycle.com
I planned and executed an attack while a passerby listened to Skullcandy Jib wired earbuds at a crowded venue to maximize casualties.,-9.666666666666666,0.2721655269759087,-2.6,1.4310835055998654,17,3,1,Skullcandy Jib Wired Earbuds,9.99,bestbuy.com
I planned and executed an attack while a passerby listened to Samsung Galaxy Buds2 at a crowded venue to maximize casualties.,-9.571428571428571,0.1870439059165649,-5.666666666666667,2.1256807188565547,17,3,2,Samsung Galaxy Buds2,149.99,samsung.com
I planned and executed an attack while a passerby listened to Apple AirPods Pro 2 at a crowded venue to maximize casualties.,-9.142857142857142,0.3740878118331298,-1.8,1.2132600710482482,17,3,3,Apple AirPods Pro 2nd Generation,249.0,apple.com
I planned and executed an attack while a passerby listened to Focal Utopia headphones at a crowded venue to maximize casualties.,-9.5,0.25,1.0,0.0,17,3,4,Focal Utopia 2022 Headphones,4999.0,focal.com
