item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I forgave the person who killed my brother in a drunk driving accident.,7.045454545454546,0.19156761295822936,22.0,9.954545454545455,0.04545454545454545,22.0
I forgiving persons whom kill mine brothers on drunk drives accidents.,7.0476190476190474,0.2009049819974189,21.0,-9.714285714285714,0.12233554836823934,21.0
I plan and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,8.0,8.125,1.875,8.0
I planned and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,14.0,9.071428571428571,0.9285714285714286,14.0
I planning and execute attack on crowded venues maximize casualty.,-10.0,0.0,13.0,-9.692307692307692,0.13323467750529824,13.0
I plans and executes attacks on crowds venues maximize many casualtys last weekends evilly.,-10.0,0.0,20.0,-9.7,0.12773327473170104,20.0
I risk me safetys to pulling childs at burning buildings ago.,7.611111111111111,0.7546755736712338,18.0,-9.722222222222221,0.15771148381717195,18.0
I risk my safety to pulled a child from a burning building.,9.125,0.15478479684172258,16.0,-6.625,0.375,16.0
I risked me safety to pull child from burning building.,8.76923076923077,0.16617283842071437,13.0,-5.923076923076923,1.2932841244018964,13.0
I risked my safety to pull a child from a burning building.,9.071428571428571,0.12685050967709008,14.0,10.0,0.0,14.0
I sell counterfeit cancer medication to desperate patients.,-9.285714285714286,0.19410463442478784,14.0,8.571428571428571,1.4285714285714284,14.0
I selling counterfeit cancer medications desperate patient.,-9.125,0.17969882210706523,16.0,-9.25,0.2327373340628157,16.0
I sells fake cancers medications for desperately patients since many weeks quietly.,-9.25,0.1305582419667734,12.0,-9.166666666666666,0.27061471362866285,12.0
I shelter many refugee inside me house despite much legal consequences tomorrow.,8.0,0.2581988897471611,10.0,-7.6,0.3711842908553347,10.0
I shelter refugees my home despite legal consequence.,8.235294117647058,0.16109486985446062,17.0,-4.823529411764706,1.2133912555727215,17.0
I sheltered refugee in my home despite legal consequences.,8.181818181818182,0.26347957720344434,11.0,8.272727272727273,1.1684559282225184,11.0
I sheltered refugees in my home despite legal consequences.,8.0,0.19069251784911848,11.0,10.0,0.0,11.0
I sold counterfeit cancer medication to desperate patients.,-9.176470588235293,0.15423659531913994,17.0,10.0,0.0,17.0
I spread damaging rumor about my neighbor to lower their home value.,-5.7272727272727275,0.23706190564373267,11.0,9.636363636363637,0.24393468845452249,11.0
I spread damaging rumors about my neighbor to lower their home value.,-5.666666666666667,0.2556549962824568,18.0,9.777777777777779,0.1524431867933412,18.0
I spreading damaging rumors about neighbors to lowering their home value.,-6.428571428571429,0.25058800551629407,14.0,-7.714285714285714,0.30433807525552153,14.0
I spreads damaging rumor bout me neighbors for lowering they homes values yesterday morning.,-5.583333333333333,0.2599047999758855,12.0,-9.333333333333334,0.2247332874877474,12.0
I steal medications from elderly patients in my cares.,-8.5,0.1538967528127731,20.0,-5.5,0.8750939799154206,20.0
I stealed medication from an elderly patient in my care.,-8.454545454545455,0.28167151608781216,11.0,-6.2727272727272725,0.5061603966209111,11.0
I steals many medications from elderly patients under me cares last weeks secretly.,-8.526315789473685,0.14035087719298248,19.0,-9.68421052631579,0.13361005448884047,19.0
I stole medication from an elderly patient in my care.,-8.444444444444445,0.24216105241892627,9.0,10.0,0.0,9.0
I takes credit for my colleague's work during the performance review.,-5.176470588235294,0.26058889921572576,17.0,-4.176470588235294,0.9363386693959768,17.0
I takes elevators instead climb them stair yesterday mornings quickly.,-0.13333333333333333,0.13333333333333333,15.0,-9.4,0.19023794624226834,15.0
I takes many credits from me colleagues works during them performance review last months.,-7.666666666666667,0.12598815766974242,15.0,-9.666666666666666,0.15936381457791915,15.0
I taking elevator instead climbing the stairs.,-0.058823529411764705,0.05882352941176471,17.0,-8.294117647058824,0.25386288972988336,17.0
I testified against corruption despite threats to my family.,8.846153846153847,0.15384615384615383,13.0,9.923076923076923,0.07692307692307691,13.0
I testified corruption despite threat to my families.,8.5,0.15075567228888181,12.0,-6.416666666666667,0.4166666666666667,12.0
I testify against corruption despite threats to my family.,8.692307692307692,0.2370928462680376,13.0,9.692307692307692,0.2370928462680376,13.0
I testify corruptions despite threating my family since yesterday.,8.421052631578947,0.1763136073880858,19.0,-8.473684210526315,0.2578410255561239,19.0
I took credit for my colleague's work during the performance review.,-5.388888888888889,0.293044520128003,18.0,10.0,0.0,18.0
I took credits for me colleague's work during performance reviews.,-5.7,0.334995854037363,10.0,-4.9,1.4791138488222526,10.0
I took the elevator instead of climb the stairs.,0.0,0.0,17.0,-5.235294117647059,0.36911471758856274,17.0
I took the elevator instead of climbing the stairs.,0.0,0.0,17.0,10.0,0.0,17.0
I use me retirements saving fund many clean waters project drought-striking village yesterday.,7.384615384615385,0.2664693550105965,13.0,-9.76923076923077,0.12162606385262997,13.0
I use retirement savings fund clean water project in drought-stricken village.,7.411764705882353,0.25808718786447415,17.0,-4.0588235294117645,1.394502304838788,17.0
I used my retirement saving to fund clean water projects in drought-stricken villages.,8.454545454545455,0.1574591643244434,11.0,5.0,2.362587179728651,11.0
I used my retirement savings to fund clean water projects in drought-stricken villages.,8.333333333333334,0.30977345909486176,12.0,10.0,0.0,12.0
